Wilton devevelopment, New Castle County	United States. Department of Housing and Urban Development.		1975	HUD-DE-751519	google	NWU	https://catalog.hathitrust.org/Record/100916860	Full View
Seminola NDP area no. 1	United States. Department of Housing and Urban Development.		1975	HUD-FL-750994	google	NWU	https://catalog.hathitrust.org/Record/100916832	Full View
Tampa neighborhood development, areas 1-2	United States. Department of Housing and Urban Development.		1975	HUD-FL-750836	google	NWU	https://catalog.hathitrust.org/Record/100916829	Full View
Moute Brisas V housing project mortgage insurance	United States. Department of Housing and Urban Development.		1982	HUD-PR-820107	google	NWU	https://catalog.hathitrust.org/Record/100982105	Full View
Villas de Loiza development mortgage insurance	United States. Department of Housing and Urban Development.		1981	HUD-PR-810233	google	NWU	https://catalog.hathitrust.org/Record/100981061	Full View
Isla Mar development mortgage insurance	United States. Department of Housing and Urban Development.		1981	HUD-PR-810683	google	NWU	https://catalog.hathitrust.org/Record/100974057	Full View
Edison Park NDP area no. 2	United States. Department of Housing and Urban Development.		1975	HUD-FL-750995	google	NWU	https://catalog.hathitrust.org/Record/100916833	Full View
Plaza Renacimiento stage 3, San Juan	United States. Department of Housing and Urban Development.		1979	HUD-PR-790876	google	NWU	https://catalog.hathitrust.org/Record/100984784	Full View
Toa Alta Heights development	United States. Department of Housing and Urban Development.		1979	HUD-PR-790749	google	NWU	https://catalog.hathitrust.org/Record/100983628	Full View
Maumee River Basin Water and related land resources, level B study	United States. Great Lakes Basin Commission.		1977	GLBC-779976	google	NWU	https://catalog.hathitrust.org/Record/100972549	Full View
Alturas de Rio Grande residential development	United States. Department of Housing and Urban Development.		1981	HUD-PR-810232	google	NWU	https://catalog.hathitrust.org/Record/100979977	Full View
Rio Grande Estates	United States. Department of Housing and Urban Development.		1979	HUD-PR-790506	google	NWU	https://catalog.hathitrust.org/Record/100976413	Full View
Trujillo Alto, El Conquistador development	United States. Department of Housing and Urban Development.		1980	HUD-PR-800305	google	NWU	https://catalog.hathitrust.org/Record/100975372	Full View
Solano County areawide study 1980-1985	United States. Department of Housing and Urban Development.		1982	HUD-CA-820167	google	NWU	https://catalog.hathitrust.org/Record/100981083	Full View
Encantada Development, Trujillo Alto	United States. Department of Housing and Urban Development.		1989	HUD-PR-890259	google	NWU	https://catalog.hathitrust.org/Record/100985418	Full View
Columbia, Camp Fornance area urban renewal	United States. Department of Housing and Urban Development.		1976	HUD-SC-760888	google	NWU	https://catalog.hathitrust.org/Record/100977066	Full View
Harbison new community	United States. Department of Housing and Urban Development.		1972	HUD-SC-724622	google	NWU	https://catalog.hathitrust.org/Record/100934290	Full View
Newport historic hill urban renewal	United States. Department of Housing and Urban Development.		1973	HUD-RI-730945	google	NWU	https://catalog.hathitrust.org/Record/100916800	Full View
Nueva Caparra community mortgage insurance	United States. Department of Housing and Urban Development.		1983	HUD-PR-830417	google	NWU	https://catalog.hathitrust.org/Record/100982096	Full View
FHA mortgage insurance for seasonal homes	United States. Department of Housing and Urban Development.		1972	HUD-721979	google	NWU	https://catalog.hathitrust.org/Record/100976406	Full View
College Park Estates subdivision, Berkeley County	United States. Department of Housing and Urban Development.		1979	HUD-SC-790299	google	NWU	https://catalog.hathitrust.org/Record/100975104	Full View
Nueva Caparra community mortgage insurance	United States. Department of Housing and Urban Development.		1982	HUD-PR-820585	google	NWU	https://catalog.hathitrust.org/Record/100974059	Full View
Rock Hill, Johnston St extension and renewal	United States. Department of Housing and Urban Development.		1978	HUD-SC-781358	google	NWU	https://catalog.hathitrust.org/Record/100973703	Full View
Upper Brushy Creek watershed project, Williamson County, negative declaration	United States. Soil Conservation Service.		1974	SCS-TX-749963	google	NWU	https://catalog.hathitrust.org/Record/100973980	Full View
VA medical center, 12 bed nursing home care unit, Amarillo, environmental assessment (EA).	United States. Veterans Administration.		1984	VA-TX-849998	google	NWU	https://catalog.hathitrust.org/Record/100976772	Full View
Enka water project phase I, Buncombe County	United States. Department of Housing and Urban Development.		1978	HUD-SC-780736	google	NWU	https://catalog.hathitrust.org/Record/100980476	Full View
The Highlands planned unit development	United States. Department of Housing and Urban Development.		1978	HUD-CO-780926	google	NWU	https://catalog.hathitrust.org/Record/100976414	Full View
Myrtle Beach, Forestbrook subdivision	United States. Department of Housing and Urban Development.		1978	HUD-SC-780644	google	NWU	https://catalog.hathitrust.org/Record/100974994	Full View
Charleston, Crowfield Plantation PUD	United States. Department of Housing and Urban Development.		1980	HUD-SC-800433	google	NWU	https://catalog.hathitrust.org/Record/100917145	Full View
Macon County, Waterline construction project, Goosehorn Road	United States. Department of Housing and Urban Development.		1977	HUD-TN-771411	google	NWU	https://catalog.hathitrust.org/Record/100972343	Full View
Charleston Center	United States. Department of Housing and Urban Development.		1979	HUD-SC-790649	google	NWU	https://catalog.hathitrust.org/Record/100934404	Full View
Florence Hill water and sewer project	United States. Department of Housing and Urban Development.		1976	HUD-TX-761651	google	NWU	https://catalog.hathitrust.org/Record/100975712	Full View
Memphis, Countrywood South subdivision	United States. Department of Housing and Urban Development.		1980	HUD-TN-800864	google	NWU	https://catalog.hathitrust.org/Record/100917162	Full View
Hunter's Hollow planned community	United States. Department of Housing and Urban Development.		1980	HUD-TN-800249	google	NWU	https://catalog.hathitrust.org/Record/100917135	Full View
Stonebridge planned community, Memphis	United States. Department of Housing and Urban Development.		1980	HUD-TN-800060	google	NWU	https://catalog.hathitrust.org/Record/100917126	Full View
Kodiak sewage disposal system, USCG base	United States. Coast Guard.		1975	USCG-AK-750343	google	NWU	https://catalog.hathitrust.org/Record/100920003	Full View
Schubert-Sterchi subdivision no. 4787, Knoxville	United States. Department of Housing and Urban Development.		1980	HUD-TN-800059	google	NWU	https://catalog.hathitrust.org/Record/100917125	Full View
Poor Farm Ridge waterline extension CDBG	United States. Department of Housing and Urban Development.		1980	HUD-TN-800435	google	NWU	https://catalog.hathitrust.org/Record/100917147	Full View
Fincastle area waterline extension CDBG	United States. Department of Housing and Urban Development.		1980	HUD-TN-800434	google	NWU	https://catalog.hathitrust.org/Record/100917146	Full View
Burlington Northern, Inc. abandonment between milepost 0.00 near Hill City and milepost 8.85 near Keystone, EA	United States. Interstate Commerce Commission.		1981	ICC-SD-819998	google	NWU	https://catalog.hathitrust.org/Record/100976684	Full View
Deport Creek watershed project, Lamar County / Red River County, negative declaration	United States. Soil Conservation Service.		1974	SCS-TX-749962	google	NWU	https://catalog.hathitrust.org/Record/100975937	Full View
Ridgeway Estates subdivision mortgage insurance	United States. Department of Housing and Urban Development.		1980	HUD-TN-800262	google	NWU	https://catalog.hathitrust.org/Record/100917137	Full View
The Knolls, Willowbrook	United States. Department of Housing and Urban Development.		1978	HUD-IL-780501	google	NWU	https://catalog.hathitrust.org/Record/100917037	Full View
Wilson County, Belinda City subdivision	United States. Department of Housing and Urban Development.		1977	HUD-TN-770934	google	NWU	https://catalog.hathitrust.org/Record/100973048	Full View
Fairmont estates	United States. Department of Housing and Urban Development.		1972	HUD-TX-725767	google	NWU	https://catalog.hathitrust.org/Record/100980465	Full View
Woodlands proposed new community, Montgomery County	United States. Department of Housing and Urban Development.		1972	HUD-TX-721959	google	NWU	https://catalog.hathitrust.org/Record/100934289	Full View
Dallas County, 'The Woods' subdivision	United States. Department of Housing and Urban Development.		1975	HUD-TX-751608	google	NWU	https://catalog.hathitrust.org/Record/100916861	Full View
Denton County, 'The Colony' subdivision residential development	United States. Department of Housing and Urban Development.		1974	HUD-TX-741887	google	NWU	https://catalog.hathitrust.org/Record/100916818	Full View
San Antonio, New town in town	United States. Department of Housing and Urban Development.		1973	HUD-TX-730880	google	NWU	https://catalog.hathitrust.org/Record/100916798	Full View
Survey of technology for high speed ground transport	Massachusetts Institute of Technology. United States. Northeast Corridor Transportation Project.	Available from Clearinghouse for Federal Scientific and Technical Information]	1965		google	NWU	https://catalog.hathitrust.org/Record/10619838	Full View
Port Arthur, Park Central Development	United States. Department of Housing and Urban Development.		1975	HUD-TX-751878	google	NWU	https://catalog.hathitrust.org/Record/100977030	Full View
Princeton Park subdivision	United States. Department of Housing and Urban Development.		1976	HUD-TX-761197	google	NWU	https://catalog.hathitrust.org/Record/100976412	Full View
Lubbock, Mahon School area rehabilitation	United States. Department of Housing and Urban Development.		1976	HUD-TX-760100	google	NWU	https://catalog.hathitrust.org/Record/100975739	Full View
Travis County subdivision	United States. Department of Housing and Urban Development.		1976	HUD-TX-761666	google	NWU	https://catalog.hathitrust.org/Record/100975117	Full View
Grand Prairie, Trailwood addition subdivision	United States. Department of Housing and Urban Development.		1977	HUD-TX-770359	google	NWU	https://catalog.hathitrust.org/Record/100974995	Full View
South west mesquite drainage project	United States. Department of Housing and Urban Development.		1976	HUD-TX-761466	google	NWU	https://catalog.hathitrust.org/Record/100974351	Full View
Dallas, Unsafe structure demolition	United States. Department of Housing and Urban Development.		1977	HUD-TX-770112	google	NWU	https://catalog.hathitrust.org/Record/100973726	Full View
Toledo, Angola and Western Railway Company abandonment near Vulcan and Silica, ETAS	United States. Interstate Commerce Commission.		1978	ICC-OH-789977	google	NWU	https://catalog.hathitrust.org/Record/100973342	Full View
Humacao, Verdemar housing complex	United States. Department of Housing and Urban Development.		1979	HUD-PR-790874	google	NWU	https://catalog.hathitrust.org/Record/100977087	Full View
Golf Resort joint venture	United States. Department of Housing and Urban Development.		1977	HUD-TX-771166	google	NWU	https://catalog.hathitrust.org/Record/100977079	Full View
Lake Borough Village, Planned development district	United States. Department of Housing and Urban Development.		1978	HUD-CO-780858	google	NWU	https://catalog.hathitrust.org/Record/100977089	Full View
